Category,ID,Latitude,Longitude,Date,Orbit Number,Scene ID,Build ID,Average Solar Zenith,Geolocation Accuracy QA,Orbit Correction Performed,ECO_L2_LSTE_002_LST,ECO_L2_LSTE_002_QC,ECO_L2_LSTE_002_cloud_mask,ECO_L2_LSTE_002_QC_bitmask,ECO_L2_LSTE_002_QC_Mandatory_QA_flags,ECO_L2_LSTE_002_QC_Mandatory_QA_flags_Description,ECO_L2_LSTE_002_QC_Data_quality_flag,ECO_L2_LSTE_002_QC_Data_quality_flag_Description,ECO_L2_LSTE_002_QC_Cloud/Ocean_Flag,ECO_L2_LSTE_002_QC_Cloud/Ocean_Flag_Description,ECO_L2_LSTE_002_QC_Iterations,ECO_L2_LSTE_002_QC_Iterations_Description,ECO_L2_LSTE_002_QC_Atmospheric_Opacity,ECO_L2_LSTE_002_QC_Atmospheric_Opacity_Description,ECO_L2_LSTE_002_QC_MMD,ECO_L2_LSTE_002_QC_MMD_Description,ECO_L2_LSTE_002_QC_Emissivity_accuracy,ECO_L2_LSTE_002_QC_Emissivity_accuracy_Description,ECO_L2_LSTE_002_QC_LST_accuracy,ECO_L2_LSTE_002_QC_LST_accuracy_Description,ECO_L2_LSTE_002_cloud_mask_bitmask,ECO_L2_LSTE_002_cloud_mask_Cloud_Mask,ECO_L2_LSTE_002_cloud_mask_Cloud_Mask_Description
Brentwood,6,34.0497,-118.4756,2024-06-12 15:06:13 UTC,33649,004,0711,61.602141941147536,Best,True,286.06,19136.0,0.0,0b0100101011000000,0b00,Pixel produced by TES (Use cloud_mask layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-06-13 22:25:41 UTC,33669,012,0711,34.81168772261317,Best,True,304.78,35525.0,0.0,0b1000101011000101,0b01,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud_mask layer to filter cloudy pixels and select best quality),0b01,Missing stripe pixel in bands 1 and 5,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-06-17 20:49:26 UTC,33730,007,0712,15.663555196456763,Best,True,290.7,19136.0,0.0,0b0100101011000000,0b00,Pixel produced by TES (Use cloud_mask layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-06-20 11:53:52 UTC,33771,004,0712,98.48477225281954,Suspect,True,292.34,19136.0,0.0,0b0100101011000000,0b00,Pixel produced by TES (Use cloud_mask layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-06-24 10:18:21 UTC,33832,003,0712,113.36573484944095,Best,True,276.46,448.0,0.0,0b0000000111000000,0b00,Pixel produced by TES (Use cloud_mask layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b00,>0.15 (Most silicate rocks),0b00,>0.02 (Poor performance),0b00,>2 K (Poor performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-06-25 17:38:43 UTC,33852,013,0712,32.14145879493724,Best,True,310.64,2752.0,0.0,0b0000101011000000,0b00,Pixel produced by TES (Use cloud_mask layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b00,>2 K (Poor performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-06-27 09:30:43 UTC,33878,005,0712,117.32701743512185,Best,True,0.0,15.0,0.0,0b0000000000001111,0b11,Pixel not produced (see bits 3&2 for additional information),0b11,Missing/bad L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b00,Slow convergence,0b00,">=3 (Warm, humid air; or cold land)",0b00,>0.15 (Most silicate rocks),0b00,>0.02 (Poor performance),0b00,>2 K (Poor performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-06-28 08:42:29 UTC,33893,004,0712,122.3222764433391,Best,True,290.0,35520.0,0.0,0b1000101011000000,0b00,Pixel produced by TES (Use cloud_mask layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-07-03 14:28:07 UTC,33974,013,0712,70.25857503376314,Best,True,292.96,35520.0,0.0,0b1000101011000000,0b00,Pixel produced by TES (Use cloud_mask layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-07-05 06:20:01 UTC,34000,001,0712,117.21358345409053,Best,True,290.7,18880.0,0.0,0b0100100111000000,0b00,Pixel produced by TES (Use cloud_mask layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b01,0.2 - 0.3 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b01,1.5 - 2 K (Marginal performance),0b0000000000000000,0b0,Clear
Brentwood,6,34.0497,-118.4756,2024-07-07 12:52:47 UTC,34035,013,0712,89.04316640296048,Best,True,290.3,35520.0,0.0,0b1000101011000000,0b00,Pixel produced by TES (Use cloud_mask layer to filter cloudy pixels and select best quality),0b00,Good quality L1B data,0b00,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,0b11,Fast,0b10,0.1 - 0.2 (Nominal value),0b10,"0.03 - 0.1 (Mostly soils, mixed pixel)",0b00,>0.02 (Poor performance),0b10,1 - 1.5 K (Good performance),0b0000000000000000,0b0,Clear
